0.09 1.39 1.89 60.06 60.06 60.01 60.06 60.05 60.03 60.00 60.00 
10.32 5.50 365.02 60.06 60.06 60.07 60.04 60.03 4.12 60.03 60.02 
0.70 60.08 8.27 60.01 60.06 60.06 35.87 41.84 36.24 40.99 12.07 
0.02 0.03 0.03 60.06 60.06 60.06 60.06 60.06 60.01 60.02 60.00 
0.18 1.87 4.71 60.01 60.06 60.06 60.06 60.03 60.00 60.02 60.00 
0.02 0.20 0.03 0.01 0.01 0.01 0.01 0.01 0.00 0.00 0.00 
0.00 0.01 0.04 60.06 60.06 60.06 60.06 60.06 60.01 60.02 60.00 
0.91 61.77 38.82 60.06 60.04 60.06 60.03 60.06 60.01 60.02 60.00 
0.03 0.03 0.07 60.06 60.06 60.04 60.06 60.06 60.01 60.01 60.00 
0.27 19.57 10.35 60.06 60.04 60.06 60.06 60.06 60.00 60.02 60.00 
0.03 0.52 0.06 60.04 60.01 60.05 60.06 60.06 60.01 60.00 60.00 
0.02 0.03 0.03 60.06 44.93 60.06 60.04 60.06 56.32 20.19 13.36 
0.96 797.85 46.56 60.00 60.01 60.01 60.06 60.00 60.02 60.00 60.00 
0.05 0.05 0.09 60.06 60.06 60.06 60.04 60.06 60.02 60.01 60.00 
0.03 19.05 0.12 60.06 60.06 60.03 60.06 60.04 60.00 60.00 12.25 
0.01 0.02 0.05 60.05 60.04 60.02 60.05 60.03 60.00 60.01 60.00 
5.68 69.72 131.46 60.06 60.06 60.05 60.06 60.06 60.03 60.01 60.01 
0.05 0.34 0.37 60.03 60.05 60.06 60.02 60.04 60.01 60.01 60.00 
0.08 0.88 2.18 60.06 60.06 60.03 60.06 60.06 60.02 60.01 60.01 
0.18 59.52 3.07 60.06 60.06 60.06 60.06 60.06 60.02 60.02 60.00 
0.06 0.87 0.79 60.04 60.03 10.74 7.73 7.70 7.81 4.97 1.37 
0.01 0.01 0.04 60.06 60.06 60.06 60.06 60.06 60.01 60.02 60.00 
10.06 134.44 324.99 60.06 60.06 60.02 60.06 60.06 6.01 60.02 60.03 
0.19 0.71 0.23 60.06 60.06 60.06 60.06 60.06 60.02 60.00 60.00 
0.01 0.00 0.02 10.38 11.58 13.47 11.28 7.74 7.94 4.79 4.24 
0.02 0.01 0.03 60.06 60.05 60.04 60.06 60.05 60.01 60.01 60.00 
0.02 54.82 0.16 60.06 60.06 60.06 60.06 60.06 60.00 60.01 60.00 
0.05 0.84 1.40 0.51 0.26 0.54 0.29 2.19 10.75 1.09 2.31 
0.70 14.29 31.15 60.06 60.06 60.04 60.05 60.06 60.03 60.01 60.00 
0.08 0.44 1.10 35.60 13.84 60.06 60.05 60.06 60.00 26.04 45.70 
0.05 0.53 0.96 0.35 0.18 0.38 0.20 60.06 0.08 2.31 1.45 
0.05 0.23 0.64 60.06 60.06 60.06 60.06 60.06 60.00 60.01 44.19 
3.01 63.27 90.20 60.06 60.06 60.03 60.06 60.03 60.02 60.00 60.00 
0.09 0.39 0.15 60.06 60.06 60.03 3.65 10.57 15.25 5.42 10.96 
5.98 71.28 180.64 54.04 60.06 60.04 60.06 60.03 4.18 60.01 60.02 
0.08 0.62 1.36 60.06 60.04 60.05 60.07 60.06 60.01 60.02 60.01 
0.01 0.01 0.06 60.06 60.06 60.06 60.06 60.06 60.01 60.01 60.00 
0.02 0.02 0.07 60.06 60.04 60.06 60.05 60.06 60.01 60.02 60.00 
0.04 0.45 0.95 0.23 0.15 60.06 22.77 20.87 24.83 1.20 10.65 
0.02 1.17 0.05 60.06 60.01 60.06 60.06 60.01 60.01 60.02 60.00 
0.03 0.68 0.22 60.06 60.06 60.06 60.06 60.06 60.03 60.01 60.00 
0.03 1.25 0.26 60.06 60.06 1.56 60.06 60.06 60.03 60.04 60.01 
0.01 0.26 0.04 60.04 60.05 60.04 60.06 60.05 60.01 60.02 60.00 
9.07 137.47 288.71 60.01 60.05 60.03 60.05 60.06 4.80 60.01 58.67 
0.07 0.68 1.43 60.05 60.06 60.06 60.06 60.06 60.01 60.02 60.02 
0.92 25.24 23.46 60.06 60.06 60.06 60.05 60.05 60.03 60.01 60.01 
2.45 41.44 37.83 60.06 60.06 23.79 12.78 60.03 8.96 60.02 10.40 
0.04 1.86 0.07 60.06 60.02 60.06 60.06 60.06 60.02 59.65 3.24 
0.06 0.62 1.13 0.32 0.20 58.54 60.06 13.76 38.37 59.53 8.27 
0.02 0.01 0.02 0.62 0.18 0.10 0.01 0.05 0.09 0.14 0.22 
0.02 0.04 0.15 60.06 60.04 60.06 60.06 60.05 60.02 60.01 60.00 
0.14 2.78 2.89 60.06 60.06 60.07 60.06 60.04 60.02 60.02 60.01 
0.02 0.02 0.06 60.06 60.01 60.06 60.05 60.06 60.02 60.00 60.01 
0.33 7.50 10.89 60.06 60.06 60.06 60.06 60.06 60.01 60.01 60.00 
0.06 0.47 1.09 60.06 60.06 60.06 60.06 60.06 60.01 60.01 60.01 
0.02 0.52 0.04 60.06 60.06 60.03 60.06 60.06 60.01 60.02 60.00 
0.03 0.48 0.04 60.06 60.06 60.06 60.06 60.06 60.01 60.01 60.00 
0.10 1.60 2.92 60.06 60.01 60.06 60.06 60.06 60.02 60.01 60.01 
0.25 8.03 5.03 35.04 7.40 60.03 60.05 60.07 60.00 60.02 37.78 
0.04 18.22 0.18 60.06 60.06 60.06 60.06 60.06 60.02 60.01 15.51 
0.13 2.89 3.08 60.06 60.06 60.06 60.06 60.06 60.01 60.01 60.01 
