39.03 60.16 60.04 
48.62 60.12 60.16 
36.48 60.08 60.08 
43.48 35.94 0.58 
40.04 46.85 42.27 
46.51 60.19 60.08 
31.19 60.10 60.08 
1.41 2.32 2.50 
52.27 32.49 0.37 
31.88 60.12 60.07 
49.98 60.07 60.07 
16.08 25.31 25.55 
44.86 60.17 60.09 
56.15 60.07 60.07 
48.32 60.13 60.05 
12.65 16.44 54.41 
36.38 60.08 60.09 
38.13 60.10 60.10 
40.22 60.15 60.09 
30.73 60.14 60.09 
43.91 60.18 60.10 
34.57 60.16 60.09 
38.73 60.12 60.09 
35.89 47.29 60.10 
47.86 60.11 60.09 
48.56 60.19 60.09 
35.76 56.23 60.09 
37.33 60.20 60.10 
35.13 60.16 60.09 
50.23 60.15 60.08 
44.61 60.11 60.09 
49.2 60.17 60.09 
38.26 60.15 60.09 
50.84 60.15 60.09 
58.46 60.19 60.10 
49.24 60.17 60.04 
47.09 60.12 60.03 
37.21 60.14 60.09 
43.1 60.19 60.09 
44.48 60.15 60.09 
45.7 60.14 60.09 
46.4 60.11 60.08 
39.4 60.14 60.09 
39.47 60.13 60.09 
31.8 60.09 47.21 
47.82 60.16 60.09 
33.2 60.18 60.09 
32.86 60.16 60.09 
32.44 60.17 60.09 
43.25 60.17 60.08 
37.26 60.16 60.10 
58.43 60.16 60.09 
55.71 49.09 60.08 
32.64 60.14 60.09 
37.97 60.13 60.09 
40.63 60.10 60.09 
36.06 57.26 60.09 
33.31 60.10 60.09 
50.05 60.14 60.09 
46.99 60.16 60.10 
37.51 51.87 60.09 
46.0 60.15 60.09 
31.38 60.13 60.09 
37.28 55.29 60.08 
32.14 60.14 60.09 
33.72 60.14 60.09 
55.84 60.14 60.10 
42.5 60.15 60.10 
52.84 60.17 60.09 
34.55 60.15 60.09 
50.61 60.11 60.09 
33.04 60.10 60.09 
34.09 60.15 60.09 
41.0 60.15 60.09 
34.36 60.15 60.08 
30.74 44.87 60.09 
49.44 60.18 60.10 
57.33 60.19 60.10 
58.11 59.11 60.09 
54.65 60.12 60.08 
39.55 60.15 60.09 
56.56 60.18 60.10 
55.33 54.84 60.08 
40.92 60.15 60.04 
52.96 
