7216 NOT_EMPTY 42.93 stranger_afa 1698
7252 NOT_EMPTY 50.0 stranger_afa 991
7414 NOT_EMPTY 35.03 stranger_afa 2075
7450 NOT_EMPTY 37.79 stranger_afa 2016
7483 NOT_EMPTY 50.8 stranger_afa 2585
7507 NOT_EMPTY 49.52 stranger_afa 1404
7609 NOT_EMPTY 41.19 stranger_afa 1820
7660 NOT_EMPTY 30.71 stranger_afa 1244
7690 NOT_EMPTY 51.98 stranger_afa 3363
7702 NOT_EMPTY 40.07 stranger_afa 2173
7732 NOT_EMPTY 38.53 stranger_afa 950
7765 NOT_EMPTY 44.43 stranger_afa 1469
7855 NOT_EMPTY 51.05 stranger_afa 3507
7918 NOT_EMPTY 44.81 stranger_afa 374
8017 NOT_EMPTY 42.24 stranger_afa 2121
8098 NOT_EMPTY 45.6 stranger_afa 1454
8140 NOT_EMPTY 41.74 stranger_afa 1352
8161 NOT_EMPTY 53.41 stranger_afa 2249
8209 NOT_EMPTY 56.31 stranger_afa 2019
8230 NOT_EMPTY 54.79 stranger_afa 1251
8269 NOT_EMPTY 40.7 stranger_afa 2055
8350 NOT_EMPTY 50.34 stranger_afa 2171
8368 NOT_EMPTY 59.27 stranger_afa 2191
8407 NOT_EMPTY 41.68 stranger_afa 271
8434 NOT_EMPTY 35.31 stranger_afa 2044
8449 NOT_EMPTY 36.89 stranger_afa 1629
8473 NOT_EMPTY 45.71 stranger_afa 259
8560 NOT_EMPTY 42.97 stranger_afa 2046
8590 NOT_EMPTY 32.16 stranger_afa 634
8629 NOT_EMPTY 32.68 stranger_afa 117
8761 NOT_EMPTY 57.8 stranger_afa 224
8773 NOT_EMPTY 42.87 stranger_afa 1824
8797 NOT_EMPTY 38.7 stranger_afa 2472
8830 NOT_EMPTY 37.14 stranger_afa 3312
8863 NOT_EMPTY 39.14 stranger_afa 1631
8914 NOT_EMPTY 55.91 stranger_afa 375
8959 NOT_EMPTY 38.63 stranger_afa 1443
9013 NOT_EMPTY 49.23 stranger_afa 2164
9049 NOT_EMPTY 32.99 stranger_afa 1580
9058 NOT_EMPTY 58.0 stranger_afa 1717
9199 NOT_EMPTY 33.33 stranger_afa 2038
9229 NOT_EMPTY 41.04 stranger_afa 1821
9232 NOT_EMPTY 31.0 stranger_afa 2040
9304 NOT_EMPTY 34.74 stranger_afa 2215
9487 NOT_EMPTY 48.37 stranger_afa 2161
9550 NOT_EMPTY 42.04 stranger_afa 3333
9559 NOT_EMPTY 36.12 stranger_afa 2093
9670 NOT_EMPTY 34.54 stranger_afa 1555
9709 NOT_EMPTY 34.41 stranger_afa 2229
9745 NOT_EMPTY 30.78 stranger_afa 2545
9781 NOT_EMPTY 52.24 stranger_afa 2061
9865 NOT_EMPTY 34.65 stranger_afa 1870
9976 NOT_EMPTY 39.14 stranger_afa 1986
9991 NOT_EMPTY 30.85 stranger_afa 3919
10015 NOT_EMPTY 40.24 stranger_afa 27
10048 NOT_EMPTY 32.82 stranger_afa 1837
