0.07 0.06 0.07 0.07 0.22 0.64 
8.47 2.23 1.35 9.18 60.10 60.14 
0.04 0.03 0.02 0.02 0.21 0.14 
60.07 60.08 60.09 60.08 0.0 0.12 
0.00 0.00 0.00 0.00 0.0 0.09 
0.00 0.01 0.00 0.01 0.0 0.14 
0.02 0.03 0.02 0.02 0.06 0.19 
0.01 0.01 0.01 0.01 37.34 3.71 
0.04 0.03 0.03 0.03 0.18 0.14 
0.01 0.00 0.00 0.00 0.0 0.09 
0.01 0.01 0.01 0.01 0.0 0.11 
0.01 0.01 0.00 0.00 0.0 0.13 
0.20 0.21 0.12 0.23 0.89 19.33 
0.01 0.00 0.00 0.00 0.01 0.10 
0.01 0.00 0.01 0.00 0.11 0.11 
0.00 0.00 0.00 0.00 0.0 0.11 
0.00 0.00 0.00 0.00 0.0 0.09 
0.08 0.06 0.05 0.04 0.0 0.31 
44.64 54.91 60.07 47.84 5.89 60.07 
0.02 0.00 0.00 0.00 0.02 0.10 
0.01 0.01 0.01 0.01 0.09 0.13 
60.08 60.10 60.08 60.10 0.0 0.10 
0.00 0.00 0.00 0.00 0.0 0.09 
0.00 0.00 0.00 0.00 0.0 0.11 
14.76 32.87 39.99 29.19 1.20 33.01 
0.02 0.00 0.00 0.00 0.02 0.09 
0.05 0.05 0.04 0.05 0.21 0.20 
60.05 60.06 60.02 60.07 0.0 0.11 
0.01 0.01 0.01 0.01 0.0 0.13 
0.01 0.00 0.00 0.00 0.0 0.14 
10.86 13.34 18.85 12.08 1.78 60.06 
0.02 0.00 0.00 0.00 0.01 0.10 
0.01 0.01 0.01 0.01 0.16 0.13 
0.00 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.11 
0.01 0.00 0.01 0.00 0.05 0.15 
0.01 0.00 0.00 0.00 0.01 0.10 
0.01 0.01 0.01 0.01 0.11 0.12 
0.00 0.00 0.00 0.00 0.0 0.08 
0.01 0.01 0.01 0.01 0.0 0.12 
60.16 60.20 60.14 60.20 0.0 29.48 
12.42 12.55 22.49 12.39 0.15 0.28 
5.60 0.25 0.17 0.15 2.30 0.29 
0.02 0.02 0.01 0.01 0.18 0.14 
0.00 0.00 0.00 0.00 0.0 0.08 
0.01 0.01 0.01 0.01 0.0 0.11 
0.01 0.00 0.00 0.00 0.0 0.13 
2.61 2.62 3.99 2.67 0.17 0.30 
0.02 0.00 0.00 0.00 0.01 0.10 
0.01 0.00 0.00 0.00 0.07 0.11 
60.02 60.11 60.07 60.11 0.0 0.10 
0.01 0.01 0.01 0.01 0.0 0.12 
0.00 0.00 0.00 0.00 0.0 0.10 
6.30 5.26 7.49 5.93 0.10 0.60 
0.01 0.00 0.00 0.00 0.01 0.10 
0.01 0.01 0.02 0.02 0.18 0.13 
0.00 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.09 
0.00 0.00 0.00 0.00 0.0 0.10 
16.91 33.78 41.88 33.00 1.03 29.51 
0.02 0.00 0.01 0.00 0.02 0.11 
0.05 0.05 0.04 0.05 0.91 0.19 
0.01 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.01 0.00 0.0 0.09 
0.01 0.00 0.00 0.00 0.0 0.12 
60.07 60.04 60.03 60.08 4.49 60.07 
0.04 0.01 0.00 0.00 0.01 0.10 
0.02 0.02 0.02 0.02 0.10 0.11 
0.00 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.08 
60.04 60.08 60.06 60.09 0.0 0.92 
19.26 37.25 51.27 34.66 1.06 31.74 
60.09 53.58 47.43 45.61 60.28 60.05 
0.03 0.01 0.01 0.01 0.73 0.17 
60.07 60.04 60.11 60.10 0.0 60.11 
0.01 0.01 0.01 0.01 0.0 0.10 
0.00 0.00 0.00 0.00 0.0 0.11 
0.00 0.01 0.01 0.00 0.05 0.14 
0.00 0.00 0.00 0.00 0.01 0.11 
0.01 0.01 0.00 0.00 0.06 0.16 
0.01 0.00 0.00 0.00 0.0 0.09 
0.00 0.00 0.00 0.00 0.0 0.09 
0.01 0.01 0.01 0.01 0.0 0.12 
2.37 2.32 3.09 2.47 1.41 4.36 
60.17 60.16 60.28 60.26 60.04 60.07 
0.10 0.09 0.09 0.09 0.20 0.39 
0.01 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.08 
60.08 60.10 60.08 60.09 0.0 0.53 
0.01 0.01 0.01 0.01 0.05 0.19 
60.15 60.13 60.24 60.27 60.05 60.06 
0.05 0.04 0.03 0.04 0.16 0.19 
0.00 0.00 0.00 0.00 0.0 0.09 
0.00 0.00 0.00 0.00 0.0 0.09 
0.01 0.01 0.01 0.01 0.0 0.16 
0.04 0.04 0.07 0.05 0.24 0.66 
1.45 0.10 0.07 0.07 1.07 60.09 
0.02 0.01 0.00 0.01 0.09 0.11 
60.06 60.08 60.08 60.05 0.0 0.14 
0.00 0.00 0.00 0.00 0.0 0.11 
0.01 0.01 0.01 0.00 0.0 0.16 
1.75 2.26 2.51 1.63 0.91 0.89 
0.00 0.00 0.00 0.00 0.02 0.11 
0.07 0.08 0.06 0.07 0.40 0.63 
60.06 60.08 60.08 60.08 0.0 0.14 
0.00 0.00 0.00 0.00 0.0 0.11 
0.00 0.00 0.00 0.00 0.0 0.14 
6.00 8.46 14.53 7.42 0.98 20.28 
0.00 0.00 0.00 0.00 0.01 0.09 
0.01 0.01 0.01 0.01 0.08 0.13 
0.00 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.09 
0.00 0.00 0.00 0.00 0.0 0.11 
6.50 5.81 11.68 7.05 0.18 0.32 
60.28 60.27 60.44 60.31 60.03 60.03 
0.03 0.01 0.01 0.01 0.18 0.13 
0.00 0.00 0.00 0.00 0.0 0.08 
0.01 0.01 0.01 0.01 0.0 0.09 
0.00 0.00 0.00 0.00 0.0 0.10 
4.86 6.05 60.08 5.93 0.98 2.99 
0.00 0.00 0.00 0.00 0.01 0.09 
0.02 0.02 0.03 0.02 0.25 0.15 
0.01 0.00 0.00 0.00 0.0 0.09 
0.01 0.01 0.01 0.01 0.0 0.13 
0.00 0.00 0.00 0.00 0.0 0.11 
1.50 2.26 3.63 1.95 0.95 1.08 
0.00 0.00 0.00 0.00 0.01 0.10 
0.07 0.07 0.06 0.06 0.29 0.25 
0.00 0.00 0.00 0.00 0.0 0.08 
0.01 0.01 0.01 0.01 0.0 0.10 
0.00 0.00 0.00 0.00 0.0 0.11 
1.57 2.03 2.99 1.78 0.92 0.98 
0.00 0.00 0.00 0.00 0.01 0.10 
0.01 0.01 0.01 0.01 0.08 0.21 
60.07 60.09 60.09 60.10 0.0 0.15 
0.02 0.01 0.01 0.02 0.0 0.16 
0.01 0.00 0.00 0.00 0.0 0.14 
0.49 0.52 0.52 0.46 0.06 0.33 
1.62 0.07 0.07 0.05 0.53 3.88 
0.03 0.01 0.01 0.01 0.80 0.17 
60.03 60.08 60.08 60.08 0.0 0.15 
0.00 0.00 0.00 0.00 0.0 0.11 
56.77 40.89 17.68 41.96 0.0 0.45 
11.33 11.12 24.15 12.05 0.14 0.28 
0.00 0.00 0.00 0.00 0.02 0.11 
0.01 0.01 0.01 0.01 0.09 0.12 
0.00 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.09 
0.01 0.00 0.01 0.01 0.0 0.14 
3.30 3.80 5.82 3.80 1.59 1.78 
0.00 0.00 0.00 0.00 0.01 0.09 
0.01 0.01 0.01 0.01 0.73 0.25 
0.01 0.00 0.00 0.00 0.0 0.08 
0.01 0.02 0.01 0.02 0.0 0.18 
0.01 0.00 0.00 0.00 0.0 0.11 
6.86 6.12 12.09 6.12 0.17 0.32 
0.00 0.00 0.00 0.00 0.02 0.10 
0.02 0.02 0.02 0.02 0.16 0.14 
60.05 15.50 9.80 16.18 0.0 0.09 
0.00 0.00 0.00 0.00 0.0 0.09 
0.01 0.01 0.01 0.00 0.0 0.31 
0.13 0.14 0.12 0.14 0.70 11.39 
60.28 60.27 60.42 59.90 60.05 60.06 
0.02 0.01 0.01 0.01 0.14 0.13 
0.00 0.00 0.00 0.00 0.0 0.09 
0.01 0.01 0.00 0.00 0.0 0.10 
0.01 0.01 0.01 0.01 0.0 0.14 
60.07 60.07 60.05 60.07 4.59 60.06 
0.00 0.00 0.00 0.00 0.02 0.10 
0.01 0.01 0.01 0.01 0.09 0.13 
0.00 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.09 
0.00 0.00 0.00 0.00 0.0 0.11 
0.36 0.37 0.04 0.37 0.41 0.88 
0.01 0.00 0.00 0.00 0.02 0.12 
0.03 0.03 0.04 0.03 0.18 0.15 
0.01 0.00 0.00 0.00 0.0 0.08 
0.02 0.01 0.01 0.01 0.0 0.12 
60.07 60.03 60.08 60.09 0.0 0.59 
0.13 0.12 0.26 0.13 0.77 18.84 
0.02 0.00 0.00 0.00 0.02 0.10 
0.04 0.04 0.03 0.03 0.19 0.14 
0.00 0.00 0.00 0.00 0.0 0.09 
0.00 0.00 0.00 0.00 0.0 0.09 
29.30 28.38 27.22 60.08 0.0 0.29 
2.64 3.09 3.26 2.24 1.57 1.64 
0.23 0.30 0.25 0.28 60.32 60.07 
0.05 0.01 0.01 0.01 0.19 0.26 
0.01 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.09 
5.80 6.37 7.98 5.43 0.10 0.60 
60.09 59.65 58.30 43.54 60.33 60.07 
0.02 0.02 0.02 0.02 0.75 0.18 
0.01 0.00 0.00 0.00 0.0 0.09 
0.01 0.01 0.01 0.01 0.0 0.10 
0.00 0.00 0.00 0.00 0.0 0.12 
60.08 60.04 60.08 60.02 4.52 60.07 
0.01 0.00 0.00 0.00 0.01 0.10 
0.00 0.00 0.00 0.00 0.05 0.10 
0.00 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.12 
1.73 1.70 2.93 1.67 0.84 0.94 
0.08 0.02 0.01 0.01 0.26 33.21 
0.03 0.01 0.01 0.01 0.05 0.13 
60.07 60.09 60.09 60.07 0.0 0.14 
0.02 0.01 0.01 0.01 0.0 0.15 
60.07 25.33 21.74 56.12 0.0 0.96 
6.04 7.90 17.80 7.36 0.98 20.47 
0.04 0.01 0.01 0.01 0.02 0.10 
0.01 0.01 0.01 0.01 0.15 0.13 
0.00 0.00 0.00 0.00 0.0 0.08 
0.01 0.01 0.01 0.01 0.0 0.10 
0.00 0.00 0.00 0.00 0.0 0.11 
60.07 60.07 60.08 60.07 8.18 60.07 
0.04 0.01 0.00 0.00 0.01 0.10 
0.01 0.00 0.00 0.01 0.07 0.11 
0.00 0.00 0.00 0.00 0.0 0.08 
0.00 0.00 0.00 0.00 0.0 0.09 
0.01 0.01 0.01 0.00 0.0 0.16 
0.41 0.45 0.45 0.43 0.06 0.28 
0.03 0.03 0.02 0.02 42.28 0.18 
0.03 0.02 0.02 0.02 1.38 0.19 
